STATE_UT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Andaman and Nicobar Islands,1926,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9
Andaman and Nicobar Islands,1927,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1
Andaman and Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5
Andaman and Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6,192.6,515.6,1540.4,678.0
Andaman and Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3
Andaman and Nicobar Islands,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8
Andaman and Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,507.9791214524107,388.48541468739165,402.91560295881766,441.542550156244,286.3713873215705,239.19657470385795,169.55411760552965,2965.3021186495725,5.3,548.0,1735.2766297313692,691.9105167408268
Andaman and Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5
Andaman and Nicobar Islands,1934,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4
Andaman and Nicobar Islands,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0,6.6,860.9,1733.3,553.2
Andaman and Nicobar Islands,1936,16.5,15.3,116.5,64.99594052892576,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,2959.9610262934443,31.8,448.7092837529318,2109.8,586.3
Andaman and Nicobar Islands,1937,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5
Andaman and Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521.0,1930.6,742.2
Andaman and Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1
Andaman and Nicobar Islands,1940,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8,3007.5,3.3,380.1,1970.2,653.9
Andaman and Nicobar Islands,1941,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5,2898.2,12.8,329.7,1627.4,928.3
Andaman and Nicobar Islands,1942,39.2,7.4,28.34130414974686,66.8580600268408,355.594053096012,494.6580603990037,392.7150833209454,401.8658397614191,440.79168889358016,287.7962947064244,237.20121696744093,163.62038802191478,2951.9493877592517,46.6,452.14790710365094,1724.8576945091058,685.9462541816226
Andaman and Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8,2791.6,88.0,465.4,1570.6,667.6
Andaman and Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,440.4162582622482,376.0,67.5,168.6,2945.273022314091,136.2,397.2,1719.6482268979742,612.1
Andaman and Nicobar Islands,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6,56.4,572.3,2433.2,427.7
Andaman and Nicobar Islands,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
Andaman and Nicobar Islands,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
Andaman and Nicobar Islands,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562.0,1824.8,692.3
Andaman and Nicobar Islands,1953,56.0,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246.0,63.3,2721.9,121.3,420.5,1627.1,552.9
Andaman and Nicobar Islands,1954,83.8,2.1,34.3,58.0,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449.0,85.9,487.0,2419.4,456.7
Andaman and Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6
Andaman and Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080.0,126.4,656.0,1604.4,693.3
Andaman and Nicobar Islands,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166.0,1833.6,460.3
Andaman and Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4,37.2,410.2,1710.4,649.6
Andaman and Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3,11.9,356.1,2271.7,703.6
Andaman and Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400.0,191.7,92.8,3025.0,176.6,601.0,1563.0,684.5
Andaman and Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612.0,379.9,280.6,144.5,3938.2,181.5,1094.5,1857.3,805.0
Andaman and Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7,167.3,374.1,1671.9,746.4
Andaman and Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7,106.7,336.8,1953.5,584.7
Andaman and Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8,87.4,551.8,1745.9,669.8
Andaman and Nicobar Islands,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8
Andaman and Nicobar Islands,1966,79.8,4.2,12.0,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,83.9,427.6,1372.1,817.6
Andaman and Nicobar Islands,1967,164.6,21.6,30.0,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97.0,3216.4,186.2,609.7,1796.4,624.1
Andaman and Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242.0,496.8,281.6,152.0,119.2,2762.8,23.4,383.3,1803.3,552.8
Andaman and Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619.0,171.0,352.7,1539.1,556.3
Andaman and Nicobar Islands,1970,72.2,34.0,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8,106.2,488.7,1738.2,1037.7
Andaman and Nicobar Islands,1971,41.5,32.8,37.7,35.3,398.0,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6,74.3,471.0,1613.7,839.6
Andaman and Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470.0,544.6,384.9,444.5,263.8,413.9,180.0,3323.0,15.3,605.9,1844.0,857.7
Andaman and Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1,38.5,478.7,1587.8,886.1
Andaman and Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,2962.0,66.0,672.0,1378.7,845.3
Andaman and Nicobar Islands,1975,276.9,27.5,8.0,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7,3085.7,304.4,395.2,1589.1,797.0
Andaman and Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387.0,166.8,307.2,359.6,3276.0,30.6,713.5,1698.2,833.7
Andaman and Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3,341.1,345.5,467.1,263.6,153.3,67.1,2388.2,122.9,288.3,1492.9,484.1
Andaman and Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2,656.6,346.3,310.8,243.7,83.4,44.6,2712.4,138.9,425.9,1775.9,371.6
Andaman and Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,169.8,13.6,1849.4,44.9,215.0,1242.5,347.0
Andaman and Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2,575.7,494.4,271.9,252.0,143.7,500.7,3625.3,6.3,776.5,1946.3,896.3
Andaman and Nicobar Islands,1981,11.1,27.8,1.7,94.1,270.8,600.6,344.1,510.7,452.6,242.1,348.4,170.7,3074.8,38.9,366.7,1908.0,761.2
Andaman and Nicobar Islands,1982,8.8,2.8,6.6,97.5,229.2,448.7,410.5,347.6,369.0,164.5,238.8,60.5,2384.5,11.6,333.3,1575.8,463.8
Andaman and Nicobar Islands,1983,22.1,0.0,3.1,9.1,240.8,424.3,468.9,493.8,505.5,275.8,261.0,88.1,2792.4,22.1,253.0,1892.4,624.9
Andaman and Nicobar Islands,1984,69.4,173.8,26.3,156.6,162.3,424.9,446.4,125.8,283.6,347.1,158.9,445.2,2820.3,243.2,345.2,1280.7,951.2
Andaman and Nicobar Islands,1985,12.0,19.2,24.1,55.0,278.1,588.4,230.9,375.2,362.5,358.9,232.1,94.4,2630.8,31.2,357.2,1557.0,685.4
Andaman and Nicobar Islands,1986,14.8,0.6,1.5,8.2,302.6,312.2,308.5,444.0,408.9,176.1,163.5,47.0,2187.8,15.4,312.3,1473.6,386.5
Andaman and Nicobar Islands,1987,72.4,35.2,20.4,17.7,162.9,343.7,45.3,666.5,378.9,373.4,313.4,334.1,2764.0,107.6,200.9,1434.5,1021.0
Andaman and Nicobar Islands,1988,10.2,39.9,28.0,82.7,427.5,357.4,495.6,354.2,603.3,271.4,583.0,69.9,3323.0,50.1,538.1,1810.5,924.3
Andaman and Nicobar Islands,1989,56.0,12.8,68.1,42.6,379.3,414.9,380.1,413.2,215.9,291.8,255.0,4.0,2533.6,68.8,490.0,1424.1,550.7
Andaman and Nicobar Islands,1990,13.4,0.2,24.6,87.5,424.6,291.0,213.2,293.3,310.4,133.6,291.1,100.3,2183.4,13.6,536.8,1108.0,525.1
Andaman and Nicobar Islands,1991,14.1,3.8,28.0,132.9,191.3,165.7,547.2,486.5,489.9,287.6,130.1,58.5,2535.8,18.0,352.2,1689.3,476.2
Andaman and Nicobar Islands,1992,75.9,10.9,0.0,5.1,241.7,392.0,348.2,372.3,323.7,257.3,64.3,7.2,2098.7,86.8,246.8,1436.2,328.8
Andaman and Nicobar Islands,1993,14.9,0.0,129.9,43.7,181.4,257.1,391.7,226.7,437.0,299.3,189.0,66.7,2237.4,14.9,355.0,1312.5,555.0
Andaman and Nicobar Islands,1994,7.2,35.5,129.4,154.6,403.2,386.3,569.7,460.5,775.1,137.5,180.3,23.8,3262.8,42.6,687.2,2191.5,341.5
Andaman and Nicobar Islands,1995,51.8,12.5,12.1,21.1,314.8,450.4,501.4,555.8,426.4,294.7,452.9,21.6,3115.4,64.3,348.1,1933.9,769.2
Andaman and Nicobar Islands,1996,52.2,4.8,3.4,122.7,298.0,559.2,335.5,328.0,541.6,318.5,254.2,178.8,2996.9,57.0,424.1,1764.3,751.5
Andaman and Nicobar Islands,1997,9.5,0.0,0.2,15.6,281.1,199.5,918.5,430.6,440.2,128.7,292.8,38.4,2755.1,9.5,296.9,1988.8,459.9
Andaman and Nicobar Islands,1998,0.9,0.0,0.0,0.0,348.9,600.0,364.5,258.9,337.8,618.6,227.8,89.0,2846.4,0.9,348.9,1561.2,935.4
Andaman and Nicobar Islands,1999,46.8,44.6,14.2,270.6,257.4,295.0,408.5,329.2,325.3,437.5,124.9,145.7,2699.7,91.4,542.2,1358.0,708.1
Andaman and Nicobar Islands,2000,53.0,59.0,171.3,218.1,422.8,357.0,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112.0,812.2,1244.2,594.7
Andaman and Nicobar Islands,2001,89.0,15.7,143.3,30.1,705.3,370.7,341.3,469.0,334.4,267.6,222.6,91.8,3080.9,104.7,878.7,1515.4,582.0
Andaman and Nicobar Islands,2002,10.6,0.0,11.5,100.2,366.7,358.3,317.4,429.8,420.0,169.0,306.7,129.9,2620.2,10.7,478.4,1525.6,605.5
Andaman and Nicobar Islands,2003,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48.0,2355.9,52.2,465.0,1406.1,432.5
Andaman and Nicobar Islands,2004,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,2460.1,90.4,583.2,1392.2,394.2
Andaman and Nicobar Islands,2005,0.0,0.0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7,0.0,376.8,1700.4,877.5
Andaman and Nicobar Islands,2006,16.3,14.4,48.9,163.7,321.4,366.0,182.7,219.6,546.5,374.7,76.1,74.4,2404.7,30.7,534.0,1314.9,525.2
Andaman and Nicobar Islands,2007,4.9,1.6,5.0,54.6,370.0,378.3,463.2,465.3,486.4,209.4,223.9,85.6,2748.0,6.5,429.6,1793.1,518.9
Andaman and Nicobar Islands,2008,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332.0,243.7,321.1,72.0,3374.8,77.6,877.3,1783.1,636.8
Andaman and Nicobar Islands,2009,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48.0,2538.6,30.8,493.7,1627.1,386.9
Andaman and Nicobar Islands,2010,101.7,8.0,0.7,12.5,319.0,448.9,521.9,563.8,263.3,402.4,268.5,246.4,3157.1,109.8,332.2,1797.8,917.3
Andaman and Nicobar Islands,2011,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,3828.0,350.7,710.7,2165.0,601.6
Andaman and Nicobar Islands,2012,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6,165.6,620.5,2014.0,697.5
Andaman and Nicobar Islands,2013,67.1,37.6,43.0,46.3,509.3,777.0,564.8,336.7,473.6,455.8,354.2,92.3,3757.8,104.7,598.6,2152.1,902.4
Andaman and Nicobar Islands,2014,41.9,8.6,0.0,11.1,238.0,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4,50.5,249.1,1618.7,704.2
Andaman and Nicobar Islands,2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480.0,523.3,252.1,236.3,129.9,2904.6,134.4,473.2,1678.6,618.4
Andhra Pradesh,1901,12.9,65.55000000000001,3.6,20.4,53.8,65.35,93.2,97.0,117.15,127.5,151.0,46.4,853.9,78.45,77.8,372.65,324.95000000000005
Andhra Pradesh,1902,6.0,0.1,2.25,17.45,37.2,73.1,92.9,192.2,193.1,225.25,69.65,31.75,941.0,6.05,57.0,551.3,326.65
Andhra Pradesh,1903,15.4,6.7,0.1,4.9,76.95,110.75,188.05,199.3,218.1,127.19999999999999,231.64999999999998,48.05,1227.2,22.15,81.94999999999999,716.2,406.9
Andhra Pradesh,1904,8.05,0.0,3.5500000000000003,5.05,97.55000000000001,73.8,97.65,68.55,100.75,176.2,2.2,13.4,646.8,8.05,106.14999999999999,340.8,191.8
Andhra Pradesh,1905,3.8,11.75,42.5,27.65,56.5,75.25,57.75,215.05,103.35,123.1,31.4,1.0,749.3,15.55,126.7,451.5,155.5
Andhra Pradesh,1906,59.6,15.35,8.35,2.2,10.3,168.35,141.85000000000002,197.75,128.65,99.9,28.25,106.5,967.05,74.9,20.85,636.6,234.7
Andhra Pradesh,1907,0.8500000000000001,1.5,22.7,81.7,13.75,137.5,110.1,76.25,96.2,48.5,96.55,43.55,729.15,2.35,118.19999999999999,420.1,188.55
Andhra Pradesh,1908,29.900000000000002,2.8,3.2,6.35,41.05,46.7,92.95,103.75,271.75,112.85000000000001,15.0,3.4,729.7,32.75,50.599999999999994,515.2,131.15
Andhra Pradesh,1909,45.25,0.65,0.1,77.2,69.7,72.25,107.85,241.60000000000002,187.4,21.4,7.95,37.75,869.1,45.9,147.05,609.0999999999999,67.05
Andhra Pradesh,1910,0.75,2.25,0.44999999999999996,22.5,27.95,113.05,210.05,196.35,191.05,245.75,117.80000000000001,0.0,1127.85,3.0,50.85,710.45,363.55
Andhra Pradesh,1911,0.0,0.0,5.550000000000001,17.65,48.1,102.25,115.85,61.85,134.0,110.9,80.4,28.45,705.05,0.0,71.35,413.85,219.8
Andhra Pradesh,1912,0.55,6.85,2.6999999999999997,10.399999999999999,28.950000000000003,45.65,142.6,161.7,160.35,121.95,142.75,0.1,824.55,7.449999999999999,42.05,510.25,264.85
Andhra Pradesh,1913,0.0,6.65,0.7,7.050000000000001,60.5,83.0,130.1,80.6,120.8,195.45,9.75,34.0,728.65,6.65,68.25,414.5,239.25
Andhra Pradesh,1914,1.2,6.1000000000000005,3.5,48.25,65.45,118.5,114.95,154.25,232.14999999999998,53.1,39.55,8.75,845.75,7.25,117.25,619.8,101.4
Andhra Pradesh,1915,33.0,11.35,66.75,28.349999999999998,55.45,116.30000000000001,145.05,143.1,169.2,146.7,216.95,2.95,1135.25,44.35,150.6,573.65,366.65
Andhra Pradesh,1916,0.1,3.1999999999999997,0.25,12.100000000000001,38.4,103.0,246.10000000000002,178.64999999999998,174.55,304.2,133.45,5.25,1199.1,3.3,50.75,702.25,442.79999999999995
Andhra Pradesh,1917,2.8,30.35,11.05,10.899999999999999,84.25,143.95,102.7,193.65,202.6,199.9,115.8,13.45,1111.35,33.2,106.14999999999999,642.9000000000001,329.1
Andhra Pradesh,1918,42.85,2.6,10.0,11.7,74.4,73.5,69.10000000000001,102.5,130.5,17.6,161.65,15.65,711.9,45.400000000000006,96.0,375.6,194.85
Andhra Pradesh,1919,33.05,11.45,16.4,19.1,60.75,91.75,173.3,75.8,199.8,136.75,182.1,15.7,1015.95,44.5,96.2,540.65,334.55
Andhra Pradesh,1920,44.55,12.5,2.5500000000000003,18.3,52.95,62.5,48.0,105.6,134.6,155.7,61.85,0.0,699.15,57.0,73.8,350.75,217.55
Andhra Pradesh,1921,47.75,0.05,0.05,38.0,10.149999999999999,78.1,192.45,130.65,156.55,189.2,33.85,2.6,879.3,47.8,48.15,557.75,225.6
Andhra Pradesh,1922,23.9,0.0,0.0,8.65,43.9,75.85,105.19999999999999,108.8,76.15,124.0,240.15,5.1,811.8,23.9,52.55,366.05,369.3
Andhra Pradesh,1923,11.6,33.4,15.75,16.25,31.4,42.45,93.7,39.1,214.0,182.1,132.6,8.700000000000001,821.1,45.05,63.4,389.3,323.40000000000003
Andhra Pradesh,1924,6.75,3.1,0.8999999999999999,10.75,51.55,55.45,97.75,141.9,276.35,89.25,199.2,0.15,933.15,9.850000000000001,63.25,571.4,288.65
Andhra Pradesh,1925,1.45,0.05,5.75,29.25,161.15,92.65,152.05,179.8,94.30000000000001,199.95000000000002,77.05,58.55,1052.0,1.5,196.14999999999998,518.8,335.55
Andhra Pradesh,1926,35.5,3.85,46.85,47.6,32.1,77.7,139.65,132.8,155.35000000000002,78.65,22.05,4.5,776.6500000000001,39.4,126.55,505.54999999999995,105.19999999999999
Andhra Pradesh,1927,8.5,5.15,9.25,3.75,34.9,132.1,135.55,136.64999999999998,174.3,63.15,163.65,0.5,867.5,13.700000000000001,47.9,578.65,227.35
Andhra Pradesh,1928,0.65,20.75,6.15,39.15,26.9,80.30000000000001,137.0,111.95,154.14999999999998,294.15,19.6,15.549999999999999,906.3,21.4,72.15,483.40000000000003,329.3
Andhra Pradesh,1929,6.85,23.85,0.85,27.549999999999997,36.05,128.3,57.45,92.05000000000001,156.0,159.8,57.35,31.8,777.85,30.75,64.45,433.8,248.95000000000002
Andhra Pradesh,1930,8.05,33.15,7.45,15.399999999999999,143.45,143.85,79.0,83.05,137.0,264.95000000000005,169.25,24.55,1109.1,41.2,166.3,442.85,458.75
Andhra Pradesh,1931,0.35,0.2,3.6500000000000004,8.850000000000001,50.4,117.1,139.45,76.3,184.35,262.25,128.2,31.95,1003.15,0.5,62.900000000000006,517.25,422.45000000000005
Andhra Pradesh,1932,0.0,35.2,0.05,16.45,49.0,69.65,137.85000000000002,125.44999999999999,112.7,104.9,144.3,8.15,803.65,35.2,65.45,445.65,257.3
Andhra Pradesh,1933,2.05,0.85,8.1,19.05,67.85,64.75,130.95,158.64999999999998,124.65,187.95,54.65,63.25,882.75,2.95,94.95,478.95000000000005,305.9
Andhra Pradesh,1934,10.75,0.1,0.3,21.549999999999997,25.5,92.6,158.6,128.7,94.65,133.85,76.75,4.4,747.85,10.85,47.349999999999994,474.6,215.1
Andhra Pradesh,1935,4.85,0.35,3.0,23.799999999999997,14.0,87.15,125.75,174.35,152.85000000000002,156.2,18.7,5.75,766.7,5.15,40.8,540.05,180.64999999999998
Andhra Pradesh,1936,4.449999999999999,79.5,7.050000000000001,17.549999999999997,98.94999999999999,125.19999999999999,143.8,119.0,136.5,150.1,120.80000000000001,9.25,1012.1500000000001,83.89999999999999,123.55000000000001,524.5,280.15
Andhra Pradesh,1937,0.25,40.4,10.7,89.9,28.1,57.5,138.75,108.69999999999999,109.55000000000001,173.2,65.95,10.75,833.8,40.65,128.75,414.5,249.9
Andhra Pradesh,1938,0.05,19.3,6.5,2.7,68.35,117.25,116.85000000000001,187.75,259.5,69.85,88.55,3.7,940.3,19.35,77.5,681.35,162.1
Andhra Pradesh,1939,10.2,0.0,24.0,46.300000000000004,10.75,69.75,94.35,103.65,146.3,289.85,136.4,2.7,934.25,10.2,81.05000000000001,414.04999999999995,429.0
Andhra Pradesh,1940,0.25,2.6999999999999997,37.199999999999996,22.2,162.1,105.65,111.55000000000001,145.95,125.1,139.0,122.05000000000001,13.100000000000001,986.8,2.9000000000000004,221.45000000000002,488.25,274.15
Andhra Pradesh,1941,4.1,10.55,2.05,7.85,48.4,113.5,54.35,77.45,178.95,187.6,103.05,52.0,840.0,14.649999999999999,58.3,424.34999999999997,342.65
Andhra Pradesh,1942,1.65,2.9499999999999997,1.05,26.150000000000002,29.35,85.6,79.85000000000001,159.65,114.19999999999999,106.39999999999999,74.4,27.099999999999998,708.3499999999999,4.6,56.6,439.25,207.8
Andhra Pradesh,1943,21.1,3.55,1.0,49.55,142.9,87.75,108.8,97.35,164.85000000000002,258.7,67.95,3.75,1007.2,24.6,193.5,458.8,330.3
Andhra Pradesh,1944,2.5500000000000003,14.899999999999999,91.75,17.35,31.85,109.85,162.0,113.3,155.45,242.35,87.5,7.85,1036.65,17.45,140.95,540.55,337.70000000000005
